Symbol,Type,Sector,Mcap
UNITDSPR,United Spirits,Beverages Companies,
UBL,United Breweries,Beverages Companies,
RADICO,Radico Khaitan,Beverages Companies,
ABDL,Allied Blenders,Beverages Companies,
TI,Tilaknagar Inds.,Beverages Companies,
INDIAGLYCO,India Glycols,Beverages Companies,
PICCADIL,Piccadily Agro,Beverages Companies,
GLOBUSSPR,Globus Spirits,Beverages Companies,
GMBREW,G M Breweries,Beverages Companies,
SDBL,Som Distilleries,Beverages Companies,
SULA,Sula Vineyards,Beverages Companies,
ASALCBR,Assoc.Alcohols,Beverages Companies,
IFBAGRO,IFB Agro Inds.,Beverages Companies,
BCLIND,BCL Industries,Beverages Companies,
507155,Jagatjit Inds.,Beverages Companies,
544451,Monika Alcobev,Beverages Companies,
541741,FratelliVineyard,Beverages Companies,
512361,Cupid Breweries,Beverages Companies,
539546,Agribio Spirits,Beverages Companies,
531216,Comfort Intech,Beverages Companies,
516032,Tahmar Enterp.,Beverages Companies,
523309,Shri Gang Indus,Beverages Companies,
542910,Valencia Nutrit.,Beverages Companies,
ALCODIS,Alcokraft Dist.,Beverages Companies,
526211,Suraj Industries,Beverages Companies,
526471,Winsome Brew.,Beverages Companies,
531126,Kati patang Life,Beverages Companies,
RKDL,Ravikumar Distll,Beverages Companies,
507690,Orient Beverages,Beverages Companies,
531635,Silver Oak (I),Beverages Companies,
531406,ANS Industries,Beverages Companies,
519367,Transglobe Foods,Beverages Companies,
BSE,BSE,Capital Markets Companies,
HDFCAMC,HDFC AMC,Capital Markets Companies,
GROWW,Billionbrains,Capital Markets Companies,
MOTILALOFS,Motil.Oswal.Fin.,Capital Markets Companies,
MCX,Multi Comm. Exc.,Capital Markets Companies,
NAM-INDIA,Nippon Life Ind.,Capital Markets Companies,
360ONE,360 ONE,Capital Markets Companies,
CDSL,C D S L,Capital Markets Companies,
NUVAMA,Nuvama Wealth,Capital Markets Companies,
ANANDRATHI,Anand Rathi Wea.,Capital Markets Companies,
ANGELONE,Angel One,Capital Markets Companies,
544467,N S D L,Capital Markets Companies,
ABSLAMC,Aditya AMC,Capital Markets Companies,
CAMS,Cams Services,Capital Markets Companies,
KFINTECH,KFin Technolog.,Capital Markets Companies,
UTIAMC,UTI AMC,Capital Markets Companies,
IEX,Indian Energy Ex,Capital Markets Companies,
PRUDENT,Prudent Corp.,Capital Markets Companies,
IIFLCAPS,IIFL Capital,Capital Markets Companies,
ICRA,ICRA,Capital Markets Companies,
CRAMC,Canara Robeco,Capital Markets Companies,
INDOTHAI,Indo Thai Sec.,Capital Markets Companies,
CARERATING,CARE Ratings,Capital Markets Companies,
ARSSBL,Anand Rathi Shar,Capital Markets Companies,
SHAREINDIA,Share India Sec.,Capital Markets Companies,
MONARCH,Monarch Networth,Capital Markets Companies,
SYSTMTXC,Systematix Corp.,Capital Markets Companies,
GEOJITFSL,Geojit Fin. Ser.,Capital Markets Companies,
MASTERTR,Master Trust,Capital Markets Companies,
SMCGLOBAL,SMC Global Sec.,Capital Markets Companies,
DAMCAPITAL,Dam Capital Advi,Capital Markets Companies,
DOLATALGO,Dolat Algotech,Capital Markets Companies,
ARIHANTCAP,Arihant Capital,Capital Markets Companies,
5PAISA,5paisa Capital,Capital Markets Companies,
BIRLAMONEY,Adit.Birla Money,Capital Markets Companies,
GCSL,Gretex Corporate,Capital Markets Companies,
EMKAY,Emk.Global Fin.,Capital Markets Companies,
531359,Shriram AMC,Capital Markets Companies,
544141,Pune e,Capital Markets Companies,
512393,Shardul Sec.,Capital Markets Companies,
500069,Quest Capital,Capital Markets Companies,
ALMONDZ,Almondz Global,Capital Markets Companies,
IVC,IL&FS Inv.Manag.,Capital Markets Companies,
KEYFINSERV,Keynote Finan.,Capital Markets Companies,
544340,Rikhav Securitie,Capital Markets Companies,
INDBANK,Indbank Merchant,Capital Markets Companies,
530585,Swastika Investm,Capital Markets Companies,
BEACON,Beacon Trust.,Capital Markets Companies,
STEELCITY,Steel City Sec.,Capital Markets Companies,
511200,Munoth Capital,Capital Markets Companies,
540192,LKP Securities,Capital Markets Companies,
INVENTURE,Inventure Grow.,Capital Markets Companies,
543753,Dharni Capital,Capital Markets Companies,
530723,Asit C Mehta Fin,Capital Markets Companies,
