Symbol	Type	Sector	Mcap
ABDL	Allied Blenders	Beverages Companies	1
TI	Tilaknagar Inds.	Beverages Companies	1
INDIAGLYCO	India Glycols	Beverages Companies	1
PICCADIL	Piccadily Agro	Beverages Companies	1
GLOBUSSPR	Globus Spirits	Beverages Companies	1
GMBREW	G M Breweries	Beverages Companies	1
SDBL	Som Distilleries	Beverages Companies	1
SULA	Sula Vineyards	Beverages Companies	1
ASALCBR	Assoc.Alcohols	Beverages Companies	1
IFBAGRO	IFB Agro Inds.	Beverages Companies	1
BCLIND	BCL Industries	Beverages Companies	1
507155	Jagatjit Inds.	Beverages Companies	1
544451	Monika Alcobev	Beverages Companies	1
541741	FratelliVineyard	Beverages Companies	1
512361	Cupid Breweries	Beverages Companies	1
539546	Agribio Spirits	Beverages Companies	1
531216	Comfort Intech	Beverages Companies	1
516032	Tahmar Enterp.	Beverages Companies	1
523309	Shri Gang Indus	Beverages Companies	1
542910	Valencia Nutrit.	Beverages Companies	1
ALCODIS	Alcokraft Dist.	Beverages Companies	1
526211	Suraj Industries	Beverages Companies	1
526471	Winsome Brew.	Beverages Companies	1
531126	Kati patang Life	Beverages Companies	1
RKDL	Ravikumar Distll	Beverages Companies	1
507690	Orient Beverages	Beverages Companies	1
531635	Silver Oak (I)	Beverages Companies	1
531406	ANS Industries	Beverages Companies	1
519367	Transglobe Foods	Beverages Companies	1
BSE	BSE	Capital Markets Companies	1
HDFCAMC	HDFC AMC	Capital Markets Companies	1
GROWW	Billionbrains	Capital Markets Companies	1
MOTILALOFS	Motil.Oswal.Fin.	Capital Markets Companies	1
MCX	Multi Comm. Exc.	Capital Markets Companies	1
NAM-INDIA	Nippon Life Ind.	Capital Markets Companies	1
360ONE	360 ONE	Capital Markets Companies	1
CDSL	C D S L	Capital Markets Companies	1
NUVAMA	Nuvama Wealth	Capital Markets Companies	1
ANANDRATHI	Anand Rathi Wea.	Capital Markets Companies	1
ANGELONE	Angel One	Capital Markets Companies	1
544467	N S D L	Capital Markets Companies	1
ABSLAMC	Aditya AMC	Capital Markets Companies	1
CAMS	Cams Services	Capital Markets Companies	1
KFINTECH	KFin Technolog.	Capital Markets Companies	1
UTIAMC	UTI AMC	Capital Markets Companies	1
IEX	Indian Energy Ex	Capital Markets Companies	1
PRUDENT	Prudent Corp.	Capital Markets Companies	1
IIFLCAPS	IIFL Capital	Capital Markets Companies	1
ICRA	ICRA	Capital Markets Companies	1
CRAMC	Canara Robeco	Capital Markets Companies	1
INDOTHAI	Indo Thai Sec.	Capital Markets Companies	1
CARERATING	CARE Ratings	Capital Markets Companies	1
ARSSBL	Anand Rathi Shar	Capital Markets Companies	1
SHAREINDIA	Share India Sec.	Capital Markets Companies	1
MONARCH	Monarch Networth	Capital Markets Companies	1
SYSTMTXC	Systematix Corp.	Capital Markets Companies	1
GEOJITFSL	Geojit Fin. Ser.	Capital Markets Companies	1
MASTERTR	Master Trust	Capital Markets Companies	1
SMCGLOBAL	SMC Global Sec.	Capital Markets Companies	1
DAMCAPITAL	Dam Capital Advi	Capital Markets Companies	1
DOLATALGO	Dolat Algotech	Capital Markets Companies	1
ARIHANTCAP	Arihant Capital	Capital Markets Companies	1
