Symbol,Type,Sector,Sectors,Industrys
UTKARSHBNK,Utkarshbnk Small F.,Financial Services-Consumer Discretionary,Financial Services,Financial Services
HINDWAREAP,Hindwareap Home In,Financial Services-Commodities,Financial Services,Consumer Discretionary
RAMCOIND,Ramcoind Inds.,Financial Services-Fast Moving Consumer Goods,Financial Services,Commodities
SUNDROP,Sundrop Brands,Financial Services-Industrials,Financial Services,Fast Moving Consumer Goods
RAMRAT,Ramrat Ratna Wires,Financial Services-Commodities,Financial Services,Industrials
NOCIL,Nocil https,Financial Services-Consumer Discretionary,Financial Services,Commodities
FMGOETZE,Fmgoetze Mogul Go,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
CARYSIL,Carysil https,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
NRBBEARING,Nrbbearing Bearings,Financial Services-Commodities,Financial Services,Consumer Discretionary
FCL,Fcl Chem,Financial Services-Information Technology,Financial Services,Commodities
SAKSOFT,Saksoft https,Financial Services-Industrials,Financial Services,Information Technology
TCPLPACK,Tcplpack Packaging,Financial Services-Consumer Discretionary,Financial Services,Industrials
ROLEXRINGS,Rolexrings Rings,Financial Services-Commodities,Financial Services,Consumer Discretionary
WSTCSTPAPR,Wstcstpapr Coast Paper,Financial Services-Commodities,Financial Services,Commodities
MAITHANALL,Maithanall Alloys,Financial Services-Consumer Discretionary,Financial Services,Commodities
YATRA,Yatra Online,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
IMAGICAA,Imagicaa Enter.,Financial Services-Industrials,Financial Services,Consumer Discretionary
HPL,Hpl Electric,Financial Services-Services,Financial Services,Industrials
TEAMLEASE,Teamlease Lease Serv.,Financial Services-Healthcare,Financial Services,Services
HIKAL,Hikal https,Financial Services-Industrials,Financial Services,Healthcare
VIKRAN,Vikran Engg.,Oil & Gas-Energy,Financial Services,Industrials
PRABHA,Prabha Energy,Information Technology-Services,Oil & Gas,Energy
ROADSTAR,Roadstar Infra,Financial Services-Healthcare,Information Technology,Services
VIMTALABS,Vimtalabs Labs,Financial Services-Industrials,Financial Services,Healthcare
POLYPLEX,Polyplex Corpn,Financial Services-Industrials,Financial Services,Industrials
VSSL,Vssl Special,Financial Services-Consumer Discretionary,Financial Services,Industrials
ARVSMART,Arvsmart SmartSp.,Financial Services-Services,Financial Services,Consumer Discretionary
EFCIL,Efcil I),Financial Services-Consumer Discretionary,Financial Services,Services
EASEMYTRIP,Easemytrip Trip Plann.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
SUNCLAY,Sunclay Clayton,Financial Services-Services,Financial Services,Consumer Discretionary
RPSGVENT,Rpsgvent Ventures,Financial Services-Healthcare,Financial Services,Services
IOLCP,Iolcp Chemicals,Oil & Gas-Industrials,Financial Services,Healthcare
VENUSPIPES,Venuspipes Pipes,Financial Services-Healthcare,Oil & Gas,Industrials
KRSNAA,Krsnaa Diagnost.,Financial Services-Utilities,Financial Services,Healthcare
KPEL,Kpel P. Energy,Financial Services-Healthcare,Financial Services,Utilities
FISCHER,Fischer Medical,Financial Services-Fast Moving Consumer Goods,Financial Services,Healthcare
BAJAJHIND,Bajajhind Hindusthan,Financial Services-Industrials,Financial Services,Fast Moving Consumer Goods
ROSSTECH,Rosstech Techsys,Financial Services-Healthcare,Financial Services,Industrials
SMSPHARMA,Smspharma Pharma.,Financial Services-Utilities,Financial Services,Healthcare
GIPCL,Gipcl Inds. Power,Financial Services-Information Technology,Financial Services,Utilities
BCG,Bcg Group,Financial Services-Financial Services,Financial Services,Information Technology
REPCOHOME,Repcohome Home Fin,Financial Services-Industrials,Financial Services,Financial Services
SOLARWORLD,Solarworld Ene.,Financial Services-Fast Moving Consumer Goods,Financial Services,Industrials
DALMIASUG,Dalmiasug Bharat,Financial Services-Consumer Discretionary,Financial Services,Fast Moving Consumer Goods
KALAMANDIR,Kalamandir Silks,Financial Services-Industrials,Financial Services,Consumer Discretionary
JAICORPLTD,Jaicorpltd Corp,Financial Services-Industrials,Financial Services,Industrials
SBCL,Sbcl Bimetal,Financial Services-Consumer Discretionary,Financial Services,Industrials
ALEMBICLTD,Alembicltd https,Financial Services-Utilities,Financial Services,Consumer Discretionary
EMSLIMITED,Emslimited https,Oil & Gas-Energy,Financial Services,Utilities
SOTL,Sotl Oil Tech,Financial Services-Consumer Discretionary,Oil & Gas,Energy
TAJGVK,Tajgvk Hotels,Financial Services-Industrials,Financial Services,Consumer Discretionary
HIRECT,Hirect Rectifiers,Financial Services-Industrials,Financial Services,Industrials
JTLIND,Jtlind Industries,Financial Services-Consumer Discretionary,Financial Services,Industrials
EPACK,Epack Durable,Financial Services-Financial Services,Financial Services,Consumer Discretionary
UGROCAP,Ugrocap Capital,Financial Services-Industrials,Financial Services,Financial Services
HONDAPOWER,Hondapower India,Financial Services-Information Technology,Financial Services,Industrials
NUCLEUS,Nucleus Soft.,Financial Services-Consumer Discretionary,Financial Services,Information Technology
LAOPALA,Laopala Opala RG,Financial Services-Fast Moving Consumer Goods,Financial Services,Consumer Discretionary
DIAMONDYD,Diamondyd Snacks,Financial Services-Telecommunication,Financial Services,Fast Moving Consumer Goods
MTNL,Mtnl T N L,Financial Services-Commodities,Financial Services,Telecommunication
SHK,Shk H Kelkar & Co.,Financial Services-Industrials,Financial Services,Commodities
WINDMACHIN,Windmachin Machines,Financial Services-Services,Financial Services,Industrials
BFUTILITIE,Bfutilitie Utilities,Financial Services-Consumer Discretionary,Financial Services,Services
AUTOAXLES,Autoaxles Axles,Financial Services-Financial Services,Financial Services,Consumer Discretionary
MONARCH,Monarch Networth,Financial Services-Industrials,Financial Services,Financial Services
CAPACITE,Capacite Infra.,Financial Services-Services,Financial Services,Industrials
DREDGECORP,Dredgecorp Corpn.,Financial Services-Consumer Discretionary,Financial Services,Services
FILATEX,Filatex India,Financial Services-Healthcare,Financial Services,Consumer Discretionary
MOREPENLAB,Morepenlab Labs.,Financial Services-Industrials,Financial Services,Healthcare
XPROINDIA,Xproindia India,Financial Services-Healthcare,Financial Services,Industrials
SOLARA,Solara Active,Financial Services-Fast Moving Consumer Goods,Financial Services,Healthcare
EVEREADY,Eveready Inds.,Financial Services-Commodities,Financial Services,Fast Moving Consumer Goods
PRAKASH,Prakash Industri,Financial Services-Healthcare,Financial Services,Commodities
INDOCO,Indoco Remedies,Oil & Gas-Industrials,Financial Services,Healthcare
GVPIL,Gvpil Power,Financial Services-Services,Oil & Gas,Industrials
TCIEXP,Tciexp Express,Financial Services-Fast Moving Consumer Goods,Financial Services,Services
GMBREW,Gmbrew M Breweries,Financial Services-Healthcare,Financial Services,Fast Moving Consumer Goods
SHALBY,Shalby https,Financial Services-Industrials,Financial Services,Healthcare
JINDALPOLY,Jindalpoly Poly Film,Financial Services-Services,Financial Services,Industrials
HGS,Hgs Global,Financial Services-Industrials,Financial Services,Services
WAAREEINDO,Waareeindo https,Financial Services-Industrials,Financial Services,Industrials
AEROFLEX,Aeroflex https,Financial Services-Financial Services,Financial Services,Industrials
FINOPB,Finopb Payments,Financial Services-Consumer Discretionary,Financial Services,Financial Services
HATHWAY,Hathway Cable,Financial Services-Fast Moving Consumer Goods,Financial Services,Consumer Discretionary
ADFFOODS,Adffoods Foods,Financial Services-Financial Services,Financial Services,Fast Moving Consumer Goods
KICL,Kicl Invest.,Financial Services-Commodities,Financial Services,Financial Services
KCP,Kcp C P,Financial Services-Commodities,Financial Services,Commodities
BEPL,Bepl Engg.,Financial Services-Financial Services,Financial Services,Commodities
SUMMITSEC,Summitsec Securitie,Financial Services-Industrials,Financial Services,Financial Services
SIMPLEXINF,Simplexinf Infra,Financial Services-Consumer Discretionary,Financial Services,Industrials
WEL,Wel Electric.,Financial Services-Services,Financial Services,Consumer Discretionary
SEAMECLTD,Seamecltd Ltd,Financial Services-Information Technology,Financial Services,Services
RAMCOSYS,Ramcosys Systems,Financial Services-Fast Moving Consumer Goods,Financial Services,Information Technology
SDBL,Sdbl Distilleries,Financial Services-Consumer Discretionary,Financial Services,Fast Moving Consumer Goods
SANGAMIND,Sangamind India,Financial Services-Financial Services,Financial Services,Consumer Discretionary
PFS,Pfs India Fin,Information Technology-Utilities,Financial Services,Financial Services
ANZEN,Anzen IYEP Trust,Financial Services-Consumer Discretionary,Information Technology,Utilities
LANDMARK,Landmark Cars,Information Technology-Services,Financial Services,Consumer Discretionary
ANANTAM,Anantam Highways,Financial Services-Financial Services,Information Technology,Services
SCILAL,Scilal Land,Financial Services-Consumer Discretionary,Financial Services,Financial Services
GANECOS,Ganecos Ecosphe.,Financial Services-Industrials,Financial Services,Consumer Discretionary
MBEL,Mbel & B Engineer.,Financial Services-Consumer Discretionary,Financial Services,Industrials
RAJRATAN,Rajratan Global,Financial Services-Financial Services,Financial Services,Consumer Discretionary
SYSTMTXC,Systmtxc Corp.,Financial Services-Industrials,Financial Services,Financial Services
STEELCAS,Steelcas https,Financial Services-Consumer Discretionary,Financial Services,Industrials
MAYURUNIQ,Mayuruniq Uniquoters,Financial Services-Financial Services,Financial Services,Consumer Discretionary
SGFIN,Sgfin Finserve,Financial Services-Consumer Discretionary,Financial Services,Financial Services
NILKAMAL,Nilkamal Ltd,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
EIHAHOTELS,Eihahotels Assoc.Hotels,Financial Services-Services,Financial Services,Consumer Discretionary
KERNEX,Kernex Microsys.,Financial Services-Consumer Discretionary,Financial Services,Services
STYLEBAAZA,Stylebaaza Style,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
SHRINGARMS,Shringarms House,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
STUDDS,Studds Accessor.,Financial Services-Industrials,Financial Services,Consumer Discretionary
SERVOTECH,Servotech Renew,Financial Services-Consumer Discretionary,Financial Services,Industrials
UNIPARTS,Uniparts India,Financial Services-Information Technology,Financial Services,Consumer Discretionary
RPTECH,Rptech Peripheral,Financial Services-Consumer Discretionary,Financial Services,Information Technology
RML,Rml Madras),Financial Services-Information Technology,Financial Services,Consumer Discretionary
DIGITIDE,Digitide Solutio,Information Technology-Services,Financial Services,Information Technology
TVSINVIT,Tvsinvit Infra. Trust,Financial Services-Financial Services,Information Technology,Services
SPANDANA,Spandana Sphoort,Financial Services-Fast Moving Consumer Goods,Financial Services,Financial Services
TASTYBITE,Tastybite Bite Eat.,Financial Services-Healthcare,Financial Services,Fast Moving Consumer Goods
PANACEABIO,Panaceabio Biotec,Financial Services-Commodities,Financial Services,Healthcare
INSECTICID,Insecticid India,Financial Services-Industrials,Financial Services,Commodities
APCOTEXIND,Apcotexind Industri,Financial Services-Industrials,Financial Services,Industrials
DCXINDIA,Dcxindia Systems,Financial Services-Consumer Discretionary,Financial Services,Industrials
WHEELS,Wheels India,Financial Services-Industrials,Financial Services,Consumer Discretionary
MOLDTKPAC,Moldtkpac Tek Pack.,Financial Services-Industrials,Financial Services,Industrials
BAJEL,Bajel Projects,Financial Services-Consumer Discretionary,Financial Services,Industrials
CANTABIL,Cantabil Retail,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
DOLLAR,Dollar Industrie,Financial Services-Industrials,Financial Services,Consumer Discretionary
IDEAFORGE,Ideaforge Tech,Oil & Gas-Industrials,Financial Services,Industrials
HITECH,Hitech Tech Pipes,Financial Services-Industrials,Oil & Gas,Industrials
SOLEX,Solex Energy,Financial Services-Services,Financial Services,Industrials
VINCOFE,Vincofe Coffee,Financial Services-Information Technology,Financial Services,Services
SASKEN,Sasken Technol.,Financial Services-Consumer Discretionary,Financial Services,Information Technology
ORIENTHOT,Orienthot Hotels,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
GOODYEAR,Goodyear India,Financial Services-Healthcare,Financial Services,Consumer Discretionary
NOVARTIND,Novartind India,Financial Services-Consumer Discretionary,Financial Services,Healthcare
STOVEKRAFT,Stovekraft Kraft,Financial Services-Financial Services,Financial Services,Consumer Discretionary
RANEHOLDIN,Raneholdin Holdings,Financial Services-Fast Moving Consumer Goods,Financial Services,Financial Services
SULA,Sula Vineyards,Financial Services-Industrials,Financial Services,Fast Moving Consumer Goods
AIMTRON,Aimtron https,Financial Services-Financial Services,Financial Services,Industrials
GEOJITFSL,Geojitfsl Fin. Ser.,Financial Services-Commodities,Financial Services,Financial Services
IPL,Ipl Pesticides,Financial Services-Consumer Discretionary,Financial Services,Commodities
VERANDA,Veranda Learning,Financial Services-Healthcare,Financial Services,Consumer Discretionary
AMRUTANJAN,Amrutanjan Healt,Financial Services-Consumer Discretionary,Financial Services,Healthcare
NDRAUTO,Ndrauto Auto Compon.,Financial Services-Commodities,Financial Services,Consumer Discretionary
YASHO,Yasho Industries,Financial Services-Consumer Discretionary,Financial Services,Commodities
SPAL,Spal P Apparels,Financial Services-Industrials,Financial Services,Consumer Discretionary
PIXTRANS,Pixtrans Transmission,Financial Services-Industrials,Financial Services,Industrials
INDIANHUME,Indianhume Hume Pipe,Financial Services-Industrials,Financial Services,Industrials
RMDRIP,Rmdrip M Drip & Sprin,Financial Services-Information Technology,Financial Services,Industrials
ACCELYA,Accelya Solution,Financial Services-Consumer Discretionary,Financial Services,Information Technology
NITCO,Nitco https,Financial Services-Industrials,Financial Services,Consumer Discretionary
GARUDA,Garuda Cons,Financial Services-Financial Services,Financial Services,Industrials
MOBIKWIK,Mobikwik Mobikwik,Financial Services-Commodities,Financial Services,Financial Services
DCW,Dcw https,Financial Services-Commodities,Financial Services,Commodities
MANGLMCEM,Manglmcem Cement,Information Technology-Industrials,Financial Services,Commodities
CAPINVIT,Capinvit Infra,Financial Services-Financial Services,Information Technology,Industrials
MUFIN,Mufin Green,Financial Services-Information Technology,Financial Services,Financial Services
BLSE,Blse E-Services,Financial Services-Information Technology,Financial Services,Information Technology
GENESYS,Genesys Intl.,Financial Services-Information Technology,Financial Services,Information Technology
NELCO,Nelco https,Financial Services-Industrials,Financial Services,Information Technology
MSPL,Mspl Steel & Pow.,Financial Services-Industrials,Financial Services,Industrials
COSMOFIRST,Cosmofirst First,Oil & Gas-Energy,Financial Services,Industrials
HINDOILEXP,Hindoilexp Oil Explor.,Financial Services-Consumer Discretionary,Oil & Gas,Energy
INDNIPPON,Indnippon Nipp.Elec.,Financial Services-Industrials,Financial Services,Consumer Discretionary
TIL,Til https,Financial Services-Commodities,Financial Services,Industrials
MUKANDLTD,Mukandltd https,Financial Services-Consumer Discretionary,Financial Services,Commodities
DIVGIITTS,Divgiitts Torq,Oil & Gas-Industrials,Financial Services,Consumer Discretionary
ADOR,Ador Welding,Financial Services-Consumer Discretionary,Oil & Gas,Industrials
NITINSPIN,Nitinspin Spinners,Financial Services-Fast Moving Consumer Goods,Financial Services,Consumer Discretionary
VENKEYS,Venkeys India),Financial Services-Consumer Discretionary,Financial Services,Fast Moving Consumer Goods
DELTACORP,Deltacorp Corp,Financial Services-Commodities,Financial Services,Consumer Discretionary
ASTEC,Astec Lifescienc,Financial Services-Industrials,Financial Services,Commodities
RHETAN,Rhetan TMT Ltd,Financial Services-Commodities,Financial Services,Industrials
VIDHIING,Vidhiing Specialty,Financial Services-Industrials,Financial Services,Commodities
THEJO,Thejo Engg.,Oil & Gas-Energy,Financial Services,Industrials
PANAMAPET,Panamapet Petrochem,Financial Services-Fast Moving Consumer Goods,Oil & Gas,Energy
ASALCBR,Asalcbr Alcohols,Financial Services-Industrials,Financial Services,Fast Moving Consumer Goods
VMARCIND,Vmarcind Marc India,Financial Services-Industrials,Financial Services,Industrials
INDOTECH,Indotech Tech.Trans.,Financial Services-Telecommunication,Financial Services,Industrials
VINDHYATEL,Vindhyatel Telelink,Financial Services-Industrials,Financial Services,Telecommunication
SALASAR,Salasar Techno,Financial Services-Industrials,Financial Services,Industrials
SPECTRUM,Spectrum Electr.,Financial Services-Consumer Discretionary,Financial Services,Industrials
ALLTIME,Alltime Time Plastic,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
SOMANYCERA,Somanycera Ceramics,Financial Services-Industrials,Financial Services,Consumer Discretionary
HMT,Hmt https,Financial Services-Financial Services,Financial Services,Industrials
ARMANFIN,Armanfin Financial,Financial Services-Commodities,Financial Services,Financial Services
SPIC,Spic P I C,Financial Services-Commodities,Financial Services,Commodities
MOL,Mol Organi.,Financial Services-Industrials,Financial Services,Commodities
COOLCAPS,Coolcaps Caps,Financial Services-Industrials,Financial Services,Industrials
DYCL,Dycl Cables,Financial Services-Fast Moving Consumer Goods,Financial Services,Industrials
SANSTAR,Sanstar https,Financial Services-Information Technology,Financial Services,Fast Moving Consumer Goods
TAC,Tac Infosec,Financial Services-Consumer Discretionary,Financial Services,Information Technology
TALBROAUTO,Talbroauto Auto.,Information Technology-Consumer Discretionary,Financial Services,Consumer Discretionary
SUMEETINDS,Sumeetinds Industrie,Financial Services-Telecommunication,Information Technology,Consumer Discretionary
GTLINFRA,Gtlinfra Infra.,Financial Services-Consumer Discretionary,Financial Services,Telecommunication
MONTECARLO,Montecarlo Carlo Fas.,Oil & Gas-Energy,Financial Services,Consumer Discretionary
ANTELOPUS,Antelopus Selan,Financial Services-Consumer Discretionary,Oil & Gas,Energy
PRECAM,Precam Camshf,Oil & Gas-Energy,Financial Services,Consumer Discretionary
JINDRILL,Jindrill Drilling,,Oil & Gas,Energy
